trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9130889403123083, 'a': 0.7}",25,0,-23.90637042763836,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'e': 0.9089657496748851, 'a': 0.7}",25,0,-159.96396978791387,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
44,False,"{'e': 0.9047516632199634, 'a': 0.7}",25,0,-143.0906045781222,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
45,False,"{'e': 0.9004471023526769, 'a': 0.7}",30,0,-174.9984743672339,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
46,False,"{'e': 0.8960524975255252, 'a': 0.7}",25,0,-88.70841254304153,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
47,False,"{'e': 0.891568288195329, 'a': 0.7}",35,2,-102.65551584729084,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 1}",1
48,False,"{'e': 0.8869949227792842, 'a': 0.7}",30,0,-72.99489395075085,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
49,False,"{'e': 0.8823328586101215, 'a': 0.7}",25,0,-100.13776402708974,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
50,False,"{'e': 0.8775825618903728, 'a': 0.7}",30,0,-163.2564057329664,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
51,False,"{'e': 0.8727445076457513, 'a': 0.7}",20,10,-23.8900166481372,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
52,False,"{'e': 0.8678191796776499, 'a': 0.7}",20,0,-81.78883096443253,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
53,False,"{'e': 0.862807070514761, 'a': 0.7}",20,0,-106.1918331539315,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
54,False,"{'e': 0.8577086813638242, 'a': 0.7}",20,3,-57.9383476824277,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
55,False,"{'e': 0.8525245220595057, 'a': 0.7}",20,0,-131.94447925013446,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
56,False,"{'e': 0.8472551110134161, 'a': 0.7}",25,0,-39.309212197484065,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
57,False,"{'e': 0.8419009751622687, 'a': 0.7}",25,0,-77.94599422760245,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'e': 0.8364626499151869, 'a': 0.7}",25,0,-139.90803010732014,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
59,False,"{'e': 0.8309406791001636, 'a': 0.7}",20,0,-44.71222407779657,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
60,False,"{'e': 0.8253356149096783, 'a': 0.7}",20,0,-100.53969611455899,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
61,False,"{'e': 0.8196480178454795, 'a': 0.7}",20,0,-144.8248400933713,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
62,False,"{'e': 0.8138784566625339, 'a': 0.7}",20,0,-75.92838122678738,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
63,False,"{'e': 0.8080275083121519, 'a': 0.7}",30,0,-128.89941100931551,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
64,False,"{'e': 0.8020957578842927, 'a': 0.7}",30,0,-118.90220649506898,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
65,False,"{'e': 0.7960837985490559, 'a': 0.7}",20,6,-65.22036731595173,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
66,False,"{'e': 0.7899922314973651, 'a': 0.7}",20,0,-101.45026651883884,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
67,False,"{'e': 0.7838216658808492, 'a': 0.7}",20,0,3.6881454842082197,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'e': 0.7775727187509279, 'a': 0.7}",30,0,-201.43155198567106,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
69,False,"{'e': 0.7712460149971065, 'a': 0.7}",20,0,-88.0009668408767,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'e': 0.7648421872844884, 'a': 0.7}",20,8,-51.63673512811224,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
71,False,"{'e': 0.7583618759905082, 'a': 0.7}",20,0,-106.66505386147676,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
72,False,"{'e': 0.751805729140895, 'a': 0.7}",20,0,-58.86805791316142,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
73,False,"{'e': 0.7451744023448704, 'a': 0.7}",20,0,-117.46138638247375,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
74,False,"{'e': 0.7384685587295879, 'a': 0.7}",20,0,-150.9858804403475,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
75,False,"{'e': 0.7316888688738209, 'a': 0.7}",30,19,-24.12372302582816,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
76,False,"{'e': 0.7248360107409052, 'a': 0.7}",25,11,-37.58699782061378,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
77,False,"{'e': 0.7179106696109433, 'a': 0.7}",20,13,11.655529269226276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'e': 0.7109135380122773, 'a': 0.7}",30,0,-83.97039863678759,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
79,False,"{'e': 0.7038453156522361, 'a': 0.7}",20,6,-22.981042978918484,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
80,False,"{'e': 0.6967067093471654, 'a': 0.7}",25,15,-14.31563174241863,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'e': 0.689498432951747, 'a': 0.7}",20,0,-84.72202473297449,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
82,False,"{'e': 0.6822212072876135, 'a': 0.7}",25,10,-44.41181553968175,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
83,False,"{'e': 0.674875760071267, 'a': 0.7}",25,0,-17.846387693943825,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
84,False,"{'e': 0.6674628258413081, 'a': 0.7}",20,2,-55.00846245192945,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 0}",1
85,False,"{'e': 0.6599831458849822, 'a': 0.7}",25,0,-100.56897520499102,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
86,False,"{'e': 0.6524374681640519, 'a': 0.7}",20,14,-1.0473793345532183,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'e': 0.6448265472400012, 'a': 0.7}",20,3,-56.69600164708418,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
88,False,"{'e': 0.6371511441985802, 'a': 0.7}",20,9,-41.11976825078581,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'e': 0.6294120265736969, 'a': 0.7}",25,0,16.145264047789006,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
90,False,"{'e': 0.6216099682706644, 'a': 0.7}",20,0,-117.71971283167946,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
91,False,"{'e': 0.6137457494888116, 'a': 0.7}",35,9,-63.687615405813766,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 1}",1
92,False,"{'e': 0.6058201566434628, 'a': 0.7}",20,0,-75.94904242725393,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
93,False,"{'e': 0.5978339822872982, 'a': 0.7}",20,0,-51.47688279010744,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,False,"{'e': 0.5897880250310982, 'a': 0.7}",25,8,-38.96124999900598,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
95,False,"{'e': 0.5816830894638835, 'a': 0.7}",30,24,11.768200219522805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.5735199860724567, 'a': 0.7}",20,6,-32.86665231917902,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'e': 0.5652995311603544, 'a': 0.7}",25,0,-100.68937979769187,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
98,False,"{'e': 0.5570225467662173, 'a': 0.7}",20,0,-42.81018948880941,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
